id,targetgroup,is_felony,is_male,age,log_distance,fta_hist,appt_hist_inv,control_true_appear_prob
e3229c8d19fac7763fd49b483189b749,1,1,1,58,-1.6220169211833522,7,0.037037037037037035,0.8143679692819742
6d8bdcbf075ce7a081ee6ce252bb6cf7,0,1,1,58,-0.8751434808600305,0,0.3333333333333333,0.6404763074603863
5aa7562621888e5d7a015d360d12d120,1,0,1,58,-1.052904393178642,0,0.2,0.7357604414925578
3962ea8979c5ba623b8bc1cf5fba652d,0,0,1,39,-1.3757532415960074,0,0.5,0.4093703138473611
2201e6d7d8e2bae5a2d1ebf29aa2b414,1,0,0,37,-1.267988768437774,5,0.03333333333333333,0.6777903003516463
d8e2e07dfe4e754b851a344391be5869,0,0,1,30,-0.9102017573943018,0,0.16666666666666666,0.5051992587361485
c9367f997bb1ed4106b8377592d205fe,1,0,1,38,-1.1877369035846201,3,0.2,0.324139737927607
50eb765c8faba7974f26c9f389d5208d,0,1,0,41,-0.5295747446075749,0,0.5,0.5432733420058394
7df91f00a449ee586781c49630ff78ca,0,1,1,42,-0.5707464962292654,0,0.5,0.5896663264851778
2ac206184b320d3dedf048c0d56d1803,0,1,0,40,-1.9722694879971532,0,0.5,0.5346874031766361
a7e95cf66af6114ffba0ea402f47fd30,0,1,0,54,-1.3068419179221593,6,0.025,0.6442416226209282
da1d6c25b13d4792aeea43f86a038354,0,1,1,57,-1.9965951765848842,0,0.5,0.5877086423791111
fd563834d876b3ac11c1c7b7425c25e1,0,0,1,30,-1.2459383918429818,0,0.5,0.40654195942319304
b4b94fc760370fbb07269a39a01314ad,0,1,1,45,-2.5598711764984783,0,0.25,0.6492271658576714
3309eb2e78624056f657a4e3a7010fe7,0,1,1,43,-1.3966100228012845,0,0.25,0.6545116557187773
c5ddfa81915f05b0b399cec647efb475,0,1,1,53,-0.41349584442033516,0,0.16666666666666666,0.6847145247969748
da75656076348f1fd8a5f47f17dd37b1,1,1,1,35,-1.5345408437918329,0,0.5,0.7907047658752557
dacfee25073271c84a8c5d9ffc64edae,0,0,1,47,-0.8870959867767438,3,0.043478260869565216,0.48718279553299704
cb8ba5a14fde4d34ebf6954ace9b0f1c,0,1,1,57,-1.5839734554705587,0,0.5,0.5899884547349747
a0822cb3523754d96067a4836347e35d,0,1,0,61,-1.689606068354254,0,0.16666666666666666,0.639011294069395
d9050d27b6c3df7a9b276e2efb432eac,0,0,1,60,-1.6389904797243962,0,0.5,0.4162128009722996
2b27fa3dab3db24bc398b3526987dce8,0,0,1,37,-1.1968099325418835,0,0.16666666666666666,0.5064169479398437
